points error
4 3.0738e-01
6 2.1827e-01
8 1.2493e-01
10 5.1891e-02
12 1.6522e-02
14 4.2965e-03
16 9.5632e-04
18 1.8796e-04
20 3.3341e-05
22 5.4184e-06
24 8.1508e-07
26 1.1417e-07
28 1.4925e-08
30 1.8158e-09
32 2.0356e-10
34 2.0495e-11
36 1.7304e-12
38 9.4652e-14
40 5.0234e-15
42 2.5117e-15
44 5.2878e-16
46 5.2878e-16
48 5.2878e-16
50 1.3219e-16
52 1.0576e-15
54 3.9658e-16
56 3.9658e-16
58 1.0576e-15
60 2.6439e-16
62 7.9317e-16
64 2.6439e-16
66 5.2878e-16
68 5.2878e-16
70 2.6439e-16
72 1.3219e-16
74 2.6439e-16
76 9.2536e-16
78 2.6439e-16
80 6.6097e-16
82 0.0000e+00
84 5.2878e-16
86 3.9658e-16
88 5.2878e-16
