points error
4 3.0930e-01
6 1.4920e-01
8 6.1007e-02
10 2.0923e-02
12 6.1101e-03
14 1.5278e-03
16 3.3592e-04
18 6.6312e-05
20 1.1964e-05
22 2.0027e-06
24 3.1471e-07
26 4.6858e-08
28 6.6602e-09
30 9.0919e-10
32 1.1980e-10
34 1.5300e-11
36 1.8998e-12
38 2.3165e-13
40 2.7229e-14
42 3.5067e-15
44 4.1256e-16
46 4.1256e-16
48 4.1256e-16
50 2.0628e-16
52 1.0314e-15
54 4.1256e-16
56 4.1256e-16
58 8.2511e-16
60 2.0628e-16
62 6.1883e-16
64 4.1256e-16
66 4.1256e-16
68 4.1256e-16
70 4.1256e-16
72 0.0000e+00
74 2.0628e-16
76 8.2511e-16
78 2.0628e-16
80 6.1883e-16
82 0.0000e+00
84 4.1256e-16
86 6.1883e-16
88 6.1883e-16
