points error
4 6.5424e-01
6 1.7009e-01
8 4.4581e-02
10 1.2938e-02
12 3.6108e-03
14 9.4992e-04
16 2.3090e-04
18 5.2044e-05
20 1.0853e-05
22 2.1003e-06
24 3.7979e-07
26 6.4827e-08
28 1.0543e-08
30 1.6401e-09
32 2.4370e-10
34 3.4596e-11
36 4.7512e-12
38 6.4617e-13
40 8.7651e-14
42 1.1396e-14
44 1.3336e-15
46 2.4246e-16
48 1.2123e-16
50 0.0000e+00
52 0.0000e+00
54 1.2123e-16
56 0.0000e+00
58 1.2123e-16
60 0.0000e+00
62 0.0000e+00
64 1.2123e-16
66 0.0000e+00
68 0.0000e+00
70 1.2123e-16
72 1.2123e-16
74 1.2123e-16
76 1.2123e-16
78 0.0000e+00
80 1.2123e-16
82 1.2123e-16
84 1.2123e-16
86 0.0000e+00
88 0.0000e+00
